Ticker,Status,EPS_Source
TALO,insufficient,EDGAR
SATS,insufficient,EDGAR
BAND,insufficient,EDGAR
VIAV,insufficient,EDGAR
UCTT,insufficient,EDGAR
MIRM,insufficient,EDGAR
TBBB,insufficient,insufficient
MSGS,insufficient,EDGAR
WULF,insufficient,EDGAR
ECVT,insufficient,EDGAR
CIFR,insufficient,EDGAR
ROG,insufficient,EDGAR
HUT,insufficient,EDGAR
CNC,insufficient,EDGAR
AESI,insufficient,EDGAR
AXGN,insufficient,EDGAR
OPLN,red,EDGAR
HP,insufficient,EDGAR
BC,red,EDGAR
HZO,red,EDGAR
PRM,red,EDGAR
TH,insufficient,EDGAR
ICHR,insufficient,EDGAR
PINE,insufficient,EDGAR
DCO,insufficient,EDGAR
MEC,insufficient,EDGAR
HLIT,insufficient,EDGAR
ATKR,red,EDGAR
WELL,red,EDGAR
WERN,red,EDGAR
EGBN,insufficient,EDGAR
HUN,insufficient,EDGAR
AEHR,insufficient,EDGAR
DFTX,red,EDGAR
RMIX,insufficient,insufficient
LFUS,red,EDGAR
SDRL,red,EDGAR
SYNA,insufficient,EDGAR
QUIK,insufficient,EDGAR
GTLS,red,EDGAR
CWAN,insufficient,EDGAR
CDNA,red,EDGAR
HPE,red,EDGAR
CROX,red,EDGAR
TSAT,insufficient,insufficient
CHRD,red,EDGAR
ROIV,red,EDGAR
JAZZ,red,EDGAR
LPTH,insufficient,EDGAR
SNDA,red,EDGAR
FANG,red,EDGAR
PRSU,red,EDGAR
PL,insufficient,EDGAR
CVLG,red,EDGAR
NFBK,red,EDGAR
NOV,red,EDGAR
GLSI,red,EDGAR
RIOT,red,EDGAR
RVMD,red,EDGAR
KNX,red,EDGAR
INVX,red,EDGAR
CECO,insufficient,EDGAR
CMPR,red,EDGAR
FEIM,red,EDGAR
FSTR,insufficient,EDGAR
ARCB,red,EDGAR
PEB,red,EDGAR
CRGY,insufficient,insufficient
VECO,red,EDGAR
HASI,red,EDGAR
BCAX,insufficient,EDGAR
MPWR,red,EDGAR
HIMX,insufficient,insufficient
MSGE,red,EDGAR
WHD,insufficient,insufficient
LSCC,insufficient,EDGAR
ST,insufficient,EDGAR
SWBI,insufficient,EDGAR
ALKS,red,EDGAR
LION,insufficient,EDGAR
ARWR,red,EDGAR
HTLD,insufficient,EDGAR
POWI,red,EDGAR
NE,red,EDGAR
SHIP,red,EDGAR
ONTO,red,EDGAR
ESOA,insufficient,EDGAR
NPO,red,EDGAR
MRK,red,EDGAR
ESI,red,EDGAR
CVS,insufficient,EDGAR
CRI,red,EDGAR
GNRC,red,EDGAR
SFL,red,EDGAR
DNTH,red,EDGAR
ASC,red,EDGAR
ACLS,red,EDGAR
WTTR,insufficient,insufficient
LBRT,red,EDGAR
MOD,red,EDGAR
SRRK,red,EDGAR
SBLK,insufficient,EDGAR
NVRI,red,EDGAR
BHE,insufficient,EDGAR
PBT,insufficient,insufficient
YOU,insufficient,insufficient
MRTN,insufficient,EDGAR
OUT,red,EDGAR
NOVT,red,EDGAR
SUN,insufficient,insufficient
CYTK,insufficient,insufficient
CELC,red,EDGAR
LSTR,red,EDGAR
AVT,red,EDGAR
SION,red,EDGAR
FLNG,red,EDGAR
UTI,red,EDGAR
AAON,red,EDGAR
PRAX,red,EDGAR
NPKI,insufficient,EDGAR
MBIN,red,EDGAR
HAL,red,EDGAR
SLB,red,EDGAR
RPRX,red,EDGAR
KFRC,red,EDGAR
NN,insufficient,EDGAR
SNDR,red,EDGAR
SAIA,red,EDGAR
ADM,insufficient,EDGAR
NESR,red,EDGAR
ASRT,red,EDGAR
NVTS,insufficient,EDGAR
DDOG,insufficient,EDGAR
RAPP,red,EDGAR
PLOW,insufficient,EDGAR
TGT,red,EDGAR
ACMR,red,EDGAR
GHRS,insufficient,insufficient
ENTG,red,EDGAR
NVT,insufficient,EDGAR
THR,red,EDGAR
ENS,red,EDGAR
PLSE,insufficient,insufficient
PLPC,red,EDGAR
NTRS,green,EDGAR
ODFL,red,EDGAR
MATX,red,EDGAR
UNF,red,EDGAR
ELV,red,EDGAR
BIIB,red,EDGAR
ATEN,red,EDGAR
EWTX,red,EDGAR
IRDM,red,EDGAR
PHVS,insufficient,insufficient
ENPH,red,EDGAR
CMI,red,EDGAR
TKR,red,EDGAR
JNJ,red,EDGAR
ON,red,EDGAR
AAMI,red,EDGAR
CSX,red,EDGAR
ISTR,red,EDGAR
CAT,red,EDGAR
NVCR,red,EDGAR
IMVT,red,EDGAR
VCTR,green,EDGAR
CTNM,red,EDGAR
PLAB,red,EDGAR
AKAM,red,EDGAR
STNG,insufficient,insufficient
ORA,red,EDGAR
SILC,insufficient,insufficient
DGII,red,EDGAR
NVEC,red,EDGAR
CNTA,red,EDGAR
WFRD,red,EDGAR
BKSY,red,EDGAR
AIP,red,EDGAR
ULS,red,EDGAR
AMAL,red,EDGAR
EXPD,red,EDGAR
ARMK,red,EDGAR
