Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 month",Market capitalization,Market capitalization - Currency,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY",Sector,Analyst rating
VIAV,Viavi Solutions Inc.,52.94,USD,12.232351070595708,9330105,1.362781939852103,12971304399.857111,USD,-0.25,USD,-1290.4761904761906,Technology services,Strong buy
PII,Polaris Inc.,68.76,USD,-3.6434977578475256,1716694,0.49852184672655386,3911493132.0000005,USD,-7.8304,USD,-1201.4770009846673,Consumer durables,Neutral
UCTT,"Ultra Clean Holdings, Inc.",123.14,USD,1.5336411609498677,1028771,1.100288608529347,5520163000,USD,-4.292,USD,-794.7232113952734,Producer manufacturing,Strong buy
MIRM,"Mirum Pharmaceuticals, Inc.",107.77,USD,0.5974050219359662,1207237,0.7302857987065365,6571946723,USD,-13.6043,USD,-742.6845887016849,Health technology,Strong buy
TBBB,BBB Foods Inc.,41.69,USD,-0.9738717339667546,552717,0.9664420424834279,5025844620,USD,-1.5476,USD,-733.483422022104,Retail trade,Strong buy
WULF,TeraWulf Inc.,28.31,USD,-2.3119392684610136,20954901,0.5081018477865346,14028529165,USD,-2.5116,USD,-663.172288058341,Technology services,Strong buy
CIFR,Cipher Digital Inc.,28.14,USD,-3.5640849897189826,18875916,0.5208066274461689,11510644079,USD,-2.2256,USD,-502.3274695534506,Technology services,Strong buy
HUT,Hut 8 Corp.,121.04,USD,-2.732240437158463,3833774,0.4706980684944218,13628391170.306011,USD,-2.9097,USD,-418.94060995184594,Miscellaneous,Strong buy
AOSL,Alpha and Omega Semiconductor Limited,49.36,USD,2.747710241465446,720852,1.6129459792816578,1477324036.7427146,USD,-3.5542,USD,-359.55521075769326,Electronic technology,Buy
PTGX,"Protagonist Therapeutics, Inc.",115.03,USD,1.9227361332624506,1193688,0.6163603926862883,7397736910,USD,-1.8038,USD,-337.123701853556,Health technology,Strong buy
CNC,Centene Corporation,63.68,USD,4.359226483120283,4859414,0.48762194923127183,31444992924,USD,-13.1443,USD,-295.7045441010065,Health services,Buy
AXGN,"Axogen, Inc.",44.95,USD,0.24531668153434305,877521,0.9111025042628047,2390343316,USD,-0.6334,USD,-291.47095179233617,Health technology,Strong buy
PK,Park Hotels & Resorts Inc.,14.57,USD,-1.0190217391304373,5246620,1.0913153217763896,2933841825.9999995,USD,-1.0857,USD,-282.9934265969999,Finance,Neutral
OPLN,"OPENLANE, Inc.",38.54,USD,1.234567901234565,827540,0.7923434049042464,4083163020.9999995,USD,-1.0142,USD,-273.8429893726431,Technology services,Buy
BC,Brunswick Corporation,81.52,USD,-2.4530333851860684,822897,0.5249756880652579,5296715633,USD,-2.0817,USD,-271.61582852431985,Producer manufacturing,Buy
PRM,"Perimeter Solutions, SA",37.43,USD,-0.9264160931709937,958409,0.993665438819488,6105845903,USD,-1.3368,USD,-270.61901723037647,Process industries,Strong buy
IVZ,Invesco Ltd,28.78,USD,2.2743425728500375,3656588,0.7588314077930357,12758077341,USD,-1.4859,USD,-219.0338860850757,Finance,Buy
ICHR,Ichor Holdings,99.61,USD,1.0140959334753068,1220574,0.9185289723637505,3473107269.0000005,USD,-1.4759,USD,-203.9332784184514,Producer manufacturing,Strong buy
TH,Target Hospitality Corp.,20.14,USD,-0.09920634920634709,1644401,1.4355083141878295,2005651347.0000002,USD,-0.4371,USD,-199.6580027359781,Consumer services,Strong buy
HLIT,Harmonic Inc.,14.96,USD,-0.795755968169756,2534643,1.711320414377304,1623106690.6153848,USD,-0.3739,USD,-182.94143744454303,Electronic technology,Buy
MIDD,The Middleby Corporation,166.65,USD,-3.2567049808429034,642225,0.688870760863173,7534995585,USD,-6.473,USD,-180.8670123055781,Producer manufacturing,Buy
MEC,"Mayville Engineering Company, Inc.",34.71,USD,-2.7186098654708486,343614,2.7198865917428368,884896897,USD,-0.7976,USD,-173.87921452389773,Producer manufacturing,Strong buy
WERN,"Werner Enterprises, Inc.",40.86,USD,0.41779306955026224,735906,0.6053370909471721,2449561588,USD,-0.1569,USD,-155.09129213483146,Transportation,Neutral
AEHR,Aehr Test Systems,113.33,USD,-1.7085862966175185,1091481,0.7100281542000358,3564597449.59922,USD,-0.3783,USD,-148.74371859296483,Electronic technology,Buy
BRKR,Bruker Corporation,56.53,USD,-1.2231347195526747,2481554,0.7264450408632978,8605314775,USD,-0.2404,USD,-145.78175585602744,Health technology,Buy
DFTX,"Definium Therapeutics, Inc.",36.67,USD,49.79575163398693,20142906,1.4180352850810483,3999478751.5968137,USD,-2.5033,USD,-139.66491144088081,Health technology,Strong buy
RMIX,"Suncrete, Inc.",22.92,USD,-7.729468599033809,840875,3.4196789148477182,1632801643.7149758,USD,-0.13,USD,-135.79295154185021,Non-energy minerals,Strong buy
SYNA,Synaptics Incorporated,143.79,USD,2.0583433884590856,508109,0.9038917269438012,5555712303.999999,USD,-1.2393,USD,-130.03344319503685,Electronic technology,Buy
GTLS,"Chart Industries, Inc.",208.98,USD,0.4759844223279872,930624,0.6969091715864346,10003679251,USD,-1.0436,USD,-121.05857901002885,Consumer services,Neutral
CZR,"Caesars Entertainment, Inc.",29.29,USD,0.23956194387405985,3364010,0.7213636379831271,5966184940,USD,-2.37,USD,-115.9453302961276,Consumer services,Neutral
