Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 month,Market capitalization,Market capitalization - Currency,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY",Sector,Analyst Rating
SATS,EchoStar Corporation,121.63,USD,3.5148936170212726,5174152,0.9518981304572189,35135969878.99999,USD,-50.3231,USD,-9888.705835649067,Communications,Buy
SNDA,"Sonida Senior Living, Inc.",36.4,USD,1.0269220094365734,451205,4.448432450757619,1724924817,USD,-4.2234,USD,-9721.860465116279,Health services,Buy
PKST,Peakstone Realty Trust,20.97,USD,0,371949,0.7787857684921872,779818890,USD,-9.2766,USD,-3131.138975966562,Finance,Neutral
BBGI,"Beasley Broadcast Group, Inc.",22.47,USD,3.2154340836012834,139244,12.895677442145356,40587720,USD,-108.9602,USD,-2862.4045023245694,Consumer services,No rating
ASYS,"Amtech Systems, Inc.",17.73,USD,-5.540756526371866,258346,0.8945058679604789,255426982.00000003,USD,-2.1363,USD,-2667.6682692307695,Producer manufacturing,Strong buy
KLIC,"Kulicke and Soffa Industries, Inc.",86.46,USD,-1.4251510660129976,635792,0.9058577324472551,4524150456,USD,-1.2064,USD,-1118.9189189189187,Producer manufacturing,Buy
DOW,Dow Inc.,38.085,USD,-1.410820605746833,11226410,0.964477387707422,27449437217.606693,USD,-3.9914,USD,-1097.6005998500375,Process industries,Buy
ECVT,Ecovyst Inc.,14.15,USD,2.3878437047756877,1511064,1.2102627497401977,1548721733.0000002,USD,-0.6354,USD,-973.3108108108107,Process industries,Buy
TBBB,BBB Foods Inc.,36.24,USD,-2.763616850013418,196629,0.5442879597486655,4271142951,USD,-1.3159,USD,-916.3151364764268,Retail trade,Buy
UCTT,"Ultra Clean Holdings, Inc.",81.09,USD,-2.3129743404409124,934447,0.9543763983108764,3688787163,USD,-4.0077,USD,-873.8366480015447,Producer manufacturing,Strong buy
WULF,TeraWulf Inc.,21.43,USD,7.096451774112935,33033143,0.7151402819616728,10346018031,USD,-1.661,USD,-719.0335305719921,Technology services,Strong buy
CC,Chemours Company (The),26.48,USD,-0.48853814355505076,2216231,0.5944837719461304,3974258990,USD,-2.5701,USD,-543.8093593507166,Process industries,Buy
TALO,"Talos Energy, Inc.",15.18,USD,1.879194630872479,882683,0.7434117031578067,2558053110,USD,-2.8494,USD,-456.5234375,Energy minerals,Buy
VTRS,Viatris Inc.,14.81,USD,1.5078821110349598,6991983,0.7954535763914119,17245073994,USD,-2.9602,USD,-454.76011994003,Health technology,Buy
INSG,Inseego Corp.,14.83,USD,-1.2649800266311553,70030,0.43621389686670686,240669366.00000003,USD,-0.1832,USD,-413.16239316239313,Electronic technology,Buy
OPLN,"OPENLANE, Inc.",31.7,USD,-0.5021971123666044,464190,0.5252869601156448,3369622144,USD,-1.1834,USD,-359.4606445954834,Technology services,Buy
WLK,Westlake Corporation,111.19,USD,0.49710773680404663,794561,0.6693791902817905,14241604243.000002,USD,-11.7038,USD,-352.96215445133686,Process industries,Buy
ROG,Rogers Corporation,132.5,USD,0.7911151681119671,391947,0.9717019269193164,2363207383,USD,-3.345,USD,-338.75802997858676,Process industries,Buy
SNDK,Sandisk Corporation,1070.2,USD,8.11193049803011,13005022,1.2846794098696608,157962548111.99997,USD,-7.5894,USD,-338.19597012114747,Electronic technology,Buy
