ticker | quarter       | period_end | yf_eps   | edgar_eps | terminal_yoy%
--------------------------------------------------------------------------
ADI    | Q1 2026       | 2026-01-31 | 2.460    | 1.690     | +50.9%
ADI    | Q3 2025       | 2025-08-02 | 2.050    | 1.040     | +29.7%
ADI    | Q2 2025       | 2025-05-03 | 1.850    | 1.140     | +32.1%
ADI    | Q1 2025       | 2025-02-01 | 1.630    | 0.780     | -5.8%
ADI    | Q3 2024       | 2024-08-03 | 1.580    | 0.790     | -36.5%
ADI    | Q2 2024       | 2024-05-04 | 1.400    | 0.610     | -50.5%
ADI    | Q1 2024       | 2024-02-03 | 1.730    | 0.930     | N/A
ADI    | Q3 2023       | 2023-07-29 | 2.490    | 1.740     | N/A
ADI    | Q2 2023       | 2023-04-29 | 2.830    | 1.920     | N/A
AXON   | Q3 2025       | 2025-09-30 | 1.170    | -0.030    | -19.3%
AXON   | Q2 2025       | 2025-06-30 | 2.120    | 0.440     | +76.7%
AXON   | Q1 2025       | 2025-03-31 | 1.410    | 1.080     | +22.6%
AXON   | Q3 2024       | 2024-09-30 | 1.450    | 0.860     | +42.2%
AXON   | Q2 2024       | 2024-06-30 | 1.200    | 0.530     | N/A
AXON   | Q1 2024       | 2024-03-31 | 1.150    | 1.730     | N/A
AXON   | Q4 2023       | 2023-12-31 | 1.120    | 0.750     | +92.3%
AXON   | Q3 2023       | 2023-09-30 | 1.020    | 0.810     | N/A
AXON   | Q2 2023       | 2023-06-30 | 1.110    | 0.150     | N/A
AXON   | Q1 2023       | 2023-03-31 | 0.880    | 0.620     | N/A
ANET   | Q3 2023       | 2023-09-30 | 0.460    | 1.720     | N/A
ANET   | Q2 2023       | 2023-06-30 | 0.400    | 1.550     | N/A
ANET   | Q1 2023       | 2023-03-31 | 0.360    | 1.380     | N/A
JAKK   | Q2 2025       | 2025-06-30 | 0.030    | -0.210    | -95.4%
JAKK   | Q1 2025       | 2025-03-31 | -0.030   | -0.210    | +97.2%
JAKK   | Q2 2024       | 2024-06-30 | 0.650    | 0.470     | -48.4%
JAKK   | Q1 2024       | 2024-03-31 | -1.090   | -1.270    | -172.5%
JAKK   | Q2 2023       | 2023-06-30 | 1.260    | 0.580     | N/A
ASYS   | Q1 2026       | 2025-12-31 | 0.030    | 0.010     | -50.0%
ASYS   | Q3 2025       | 2025-06-30 | 0.060    | 0.010     | -25.0%
ASYS   | Q2 2025       | 2025-03-31 | -0.160   | -2.230    | -1500.0%
ASYS   | Q1 2025       | 2024-12-31 | 0.060    | 0.020     | +135.3%
ASYS   | Q3 2024       | 2024-06-30 | 0.080    | 0.030     | +300.0%
ASYS   | Q2 2024       | 2024-03-31 | -0.010   | 0.070     | N/A
ASYS   | Q1 2024       | 2023-12-31 | -0.170   | -0.660    | N/A
ASYS   | Q3 2023       | 2023-06-30 | 0.020    | -0.070    | N/A
ASYS   | Q2 2023       | 2023-03-31 | 0.190    | 0.230     | N/A
ASYS   | Q1 2023       | 2022-12-31 | -0.070   | -0.200    | N/A
QUIK   | Q3 2025       | 2025-09-28 | -0.190   | -0.240    | -216.7%
QUIK   | Q2 2025       | 2025-06-29 | -0.090   | -0.170    | -80.0%
QUIK   | Q1 2025       | 2025-03-30 | -0.070   | -0.140    | -163.6%
QUIK   | Q3 2024       | 2024-09-29 | -0.060   | -0.140    | -146.2%
QUIK   | Q2 2024       | 2024-06-30 | -0.050   | -0.110    | +58.3%
QUIK   | Q1 2024       | 2024-03-31 | 0.110    | 0.010     | +375.0%
QUIK   | Q4 2023       | 2023-10-01 | 0.130    | 0.080     | N/A
QUIK   | Q3 2023       | 2023-07-02 | -0.120   | -0.170    | N/A
QUIK   | Q2 2023       | 2023-04-02 | -0.040   | -0.090    | N/A
INTT   | Q3 2025       | 2025-09-30 | -0.020   | -0.080    | -120.0%
INTT   | Q2 2025       | 2025-06-30 | 0.030    | -0.040    | -62.5%
INTT   | Q1 2025       | 2025-03-31 | -0.110   | -0.190    | -210.0%
INTT   | Q4 2024       | 2024-12-31 | 0.230    | 0.120     | +360.0%
INTT   | Q3 2024       | 2024-09-30 | 0.100    | 0.040     | N/A
INTT   | Q2 2024       | 2024-06-30 | 0.080    | 0.020     | N/A
INTT   | Q1 2024       | 2024-03-31 | 0.100    | 0.050     | N/A
INTT   | Q4 2023       | 2023-12-31 | 0.160    | 0.120     | N/A
INTT   | Q3 2023       | 2023-09-30 | 0.280    | 0.190     | N/A
INTT   | Q2 2023       | 2023-06-30 | 0.280    | 0.240     | N/A
INTT   | Q1 2023       | 2023-03-31 | 0.290    | 0.250     | N/A
